,Lattitude,Longitude,isStop,Stop
0,35.31180284042728,-80.73299882670594,yes,Wallis Hall E
1,35.311807217891705,-80.73288617392731,no,
2,35.311811595355884,-80.73285935183716,no,
3,35.31181597281984,-80.73280302544785,no,
4,35.31181597281984,-80.73272792359543,no,
5,35.31181378408789,-80.73263941069794,no,
6,35.31180940662382,-80.73257503768158,no,
7,35.31180284042728,-80.73251334687424,no,
8,35.31180065169498,-80.73247847815705,no,
9,35.31178970803259,-80.73238728305054,no,
10,35.31177876436871,-80.73230413457108,no,
11,35.311767820703366,-80.73217538853837,no,
12,35.31175249956939,-80.73198763390732,no,
13,35.31175031083572,-80.73190180321885,no,
14,35.31175031083572,-80.7317140485878,no,
15,35.31175249956939,-80.73156384488297,no,
16,35.31175468830298,-80.73141632338715,no,
17,35.31175906577002,-80.73127148410035,no,
18,35.31176344323681,-80.73120442887497,no,
19,35.31175906577002,-80.73109177609635,no,
20,35.31175249956939,-80.73100594540787,no,
21,35.31172185729272,-80.73089597483826,no,
22,35.31170872488487,-80.73082355519486,no,
23,35.3116846487983,-80.7307404067154,no,
24,35.31166495017667,-80.73067335149003,no,
25,35.311649629023215,-80.73063580056382,no,
26,35.31161898670758,-80.73061166068268,no,
27,35.31157958942756,-80.73052314778519,yes,Student Health E
28,35.31151734191187,-80.7304224037378,no,
29,35.311451679685334,-80.7302587889879,no,
30,35.31139258363587,-80.7302426957338,no,
31,35.31132473256288,-80.73016222946336,no,
32,35.311267825167455,-80.73007103435685,no,
33,35.31122623896855,-80.73002007238557,no,
34,35.311167142754385,-80.729918148443,no,
35,35.31111680150086,-80.72983231775453,no,
36,35.311075215224314,-80.72973575822999,no,
37,35.31104019518538,-80.72966333858659,no,
38,35.311009552638865,-80.72960701219728,no,
39,35.310957022532136,-80.72951313488176,no,
40,35.31092637995412,-80.72942730419328,no,
41,35.31089135985075,-80.7293226980417,no,
42,35.310876038550745,-80.72930928699662,no,
43,35.31084320718385,-80.72931196920564,no,
44,35.310727202914066,-80.72931196920564,no,
45,35.310696560249,-80.72931465141465,no,
46,35.310617764771216,-80.72932001583268,no,
47,35.31055866811251,-80.72933342687776,no,
48,35.31049519387543,-80.7293414735048,no,
49,35.31042953081915,-80.7293414735048,no,
50,35.31038794418927,-80.7293414735048,no,
51,35.31034854630966,-80.72934415571382,no,
52,35.310296015773666,-80.72934683792283,no,
53,35.31022816378085,-80.72935488454988,no,
54,35.310166878061,-80.72935756675889,no,
55,35.31013185762881,-80.72935756675889,no,
56,35.310099025959865,-80.72936024896791,no,
57,35.3100508728213,-80.72936293117692,no,
58,35.30999396452968,-80.72935756675889,no,
59,35.309880209319154,-80.72935220234086,no,
60,35.30979930860547,-80.72934415571382,no,
61,35.30974240013687,-80.72933879129579,no,
62,35.309681114049,-80.72934683792283,no,
63,35.30961763912332,-80.72934952013185,no,
64,35.30956510811268,-80.72935220234086,no,
65,35.30951038827365,-80.72935488454988,no,
66,35.309455668397604,-80.72936561338594,no,
67,35.309409703673126,-80.72935488454988,no,
68,35.30935498372898,-80.72934952013185,no,
69,35.30929369734759,-80.72934683792283,no,
70,35.30925429893502,-80.7293414735048,no,
71,35.309214900503285,-80.7293414735048,no,
72,35.30916674683843,-80.72935756675889,yes,Hickory Hall South
73,35.309068250616484,-80.72933879129579,no,
74,35.308998208785695,-80.72933610908677,no,
75,35.30895224380128,-80.72933879129579,no,
76,35.308897523547685,-80.72933342687776,no,
77,35.30884499206941,-80.72933879129579,no,
78,35.308809971064946,-80.72934683792283,no,
79,35.30876400597357,-80.72934415571382,no,
80,35.308724607303034,-80.72934952013185,no,
81,35.30868083097994,-80.72935220234086,no,
82,35.308604222357516,-80.72934952013185,no,
83,35.30856263478924,-80.72934952013185,no,
84,35.30851448073612,-80.7293591180604,no,
85,35.308464137831756,-80.72934374494322,no,
86,35.308398473126786,-80.72933033389815,no,
87,35.30827589886826,-80.72933838052519,no,
88,35.30817521273124,-80.72933301610716,no,
89,35.30806577113582,-80.72934910936125,no,
90,35.30798040658862,-80.72933838052519,no,
91,35.30791693032846,-80.72933569831618,no,
92,35.30780311070276,-80.72933301610716,no,
93,35.307730878934144,-80.72933569831618,no,
94,35.30765426941213,-80.7293571559883,no,
95,35.30757547097094,-80.72936520261534,no,
96,35.30750105015045,-80.72937324924239,no,
97,35.307433195813275,-80.72937861366042,no,
98,35.307378474532165,-80.72938129586943,no,
99,35.30731937550698,-80.72938666028746,no,
100,35.307266843003916,-80.72939202470549,no,
101,35.307198988470304,-80.72940811795958,no,
102,35.30714864474729,-80.72941884679564,no,
103,35.30708735669439,-80.72941616458662,no,
104,35.3070216908719,-80.72943225784071,yes,Fretwell S
105,35.3069272924154,-80.72942152900465,no,
106,35.30685168759187,-80.72940275354155,no,
107,35.30680248035493,-80.72938129586943,no,
108,35.306754220533804,-80.72935179157027,no,
109,35.30670387653402,-80.72927668971785,no,
110,35.30666009911744,-80.72918281240233,no,
111,35.306598810694425,-80.72906211299666,no,
112,35.30651344459929,-80.7289065448738,no,
113,35.30646528932639,-80.72878584546812,no,
114,35.30640837851239,-80.7286731926895,no,
115,35.30635584541777,-80.72853908223875,no,
116,35.30629893452677,-80.72842374725111,no,
117,35.30623545694728,-80.72832450551756,no,
118,35.30618292374037,-80.72822526378401,no,
119,35.30612382384183,-80.72817161960371,no,
120,35.30604064613371,-80.7281689373947,no,
121,35.305929012759464,-80.72817161960371,no,
122,35.305865534889726,-80.72817161960371,no,
123,35.30578454581119,-80.72819307727583,no,
124,35.30568166767562,-80.72819844169386,no,
125,35.30562490977324,-80.72817161960371,no,
126,35.30557693935392,-80.72818234843977,no,
127,35.30554362643355,-80.72819575948485,no,
128,35.305506415097305,-80.72822794599303,no,
129,35.30544074799161,-80.72826281471022,no,
130,35.30538164755092,-80.72826817912825,no,
131,35.30531160252827,-80.7282413570381,no,
132,35.30525687981212,-80.72820917052992,no,
133,35.305199968148074,-80.72820380611189,no,
134,35.305149623181116,-80.72823062820204,yes,Cato Hall S
135,35.30505549989799,-80.72825208587416,no,
136,35.30495918758796,-80.72825208587416,no,
137,35.30490446463345,-80.72826281471022,no,
138,35.30480815214362,-80.72826281471022,no,
139,35.30474686231767,-80.72825745029219,no,
140,35.30465273856599,-80.72825745029219,no,
141,35.30457393720131,-80.72825476808318,no,
142,35.304506080409105,-80.7282601325012,no,
143,35.304409767445044,-80.7282601325012,no,
144,35.30435504411892,-80.72825476808318,no,
145,35.3042762424643,-80.72825476808318,no,
146,35.30420838542242,-80.72824667137922,no,
147,35.304129583624956,-80.7282549245212,no,
148,35.30405078175073,-80.72826833556627,no,
149,35.303987302407364,-80.72826833556627,no,
150,35.303928200904956,-80.72826833556627,no,
151,35.30386691041243,-80.7282924754474,no,
152,35.30379029723148,-80.72834880183672,no,
153,35.30373557348638,-80.72841317485307,no,
154,35.30372243978204,-80.7284721834514,no,
155,35.303702739221556,-80.72854192088579,no,
156,35.3036764718001,-80.72864384482835,no,
157,35.303663338086174,-80.72878868411516,no,
158,35.303663338086174,-80.72891206572984,no,
159,35.303661149133646,-80.72900057862734,no,
160,35.30365896018107,-80.72906763385271,no,
161,35.30365239332294,-80.7291373712871,no,
162,35.30363269274539,-80.72923393081163,no,
163,35.303615181116875,-80.72929830382799,no,
164,35.30359329157591,-80.72934658359026,no,
165,35.303549512476195,-80.72939754556154,no,
166,35.30349916648224,-80.72944582532381,yes,Robinson Hall S
167,35.30347727690988,-80.72944850753282,no,
168,35.3034334977474,-80.72946996520494,no,
169,35.30335907311681,-80.72948874066805,no,
170,35.303291215305734,-80.72950215171312,no,
171,35.30321897950882,-80.72950483392214,no,
172,35.30314674364741,-80.72951824496721,no,
173,35.30309858637065,-80.72952897380327,no,
174,35.303039484219084,-80.7295879824016,no,
175,35.30300446070149,-80.72962821553682,no,
176,35.302984759966186,-80.72972209285234,no,
177,35.30298694893701,-80.72984279225801,no,
178,35.302991326878484,-80.72995812724565,no,
179,35.3029825709953,-80.73005468677019,no,
180,35.30297600408228,-80.73014051745866,no,
181,35.30298868992698,-80.7302907211635,no,
182,35.302992098057736,-80.7304167849872,no,
183,35.30298983163946,-80.73056967090105,no,
184,35.30297888678513,-80.73073060344194,no,
185,35.302976697814074,-80.73088080714678,no,
186,35.30297013090059,-80.73100418876146,no,
187,35.30294605221323,-80.73115975688432,no,
188,35.30291978454612,-80.7312992317531,no,
189,35.302889138923724,-80.73146552871202,no,
190,35.30284973739215,-80.73157818149065,no,
191,35.302816902767844,-80.73169888089632,no,
192,35.302799390962775,-80.73184372018312,no,
193,35.302799390962775,-80.73200465272402,no,
194,35.302805957890115,-80.73210121224855,no,
195,35.30280157993862,-80.73216826747392,no,
196,35.30276436734125,-80.73221654723619,no,
197,35.30271402085876,-80.73225678037142,no,
198,35.30264835148668,-80.73228360246156,no,
199,35.302611138818854,-80.73231310676073,no,
200,35.30256079224102,-80.73237211535906,no,
201,35.30251701258265,-80.73246062825655,no,
202,35.30245572102114,-80.73255450557207,no,
203,35.30238786245246,-80.73269934485887,no,
204,35.30235064966483,-80.73274226020311,no,
205,35.30225433413501,-80.73280931542848,no,
206,35.30219304237453,-80.73284686635469,no,
207,35.30212299459141,-80.73285223077272,no,
208,35.30205075775156,-80.73287905286287,no,
209,35.30199165483462,-80.73291660378908,no,
210,35.30196757585609,-80.73292733262514,no,
211,35.301921606877166,-80.73295951913332,yes,Levine Hall W
212,35.30187344887124,-80.73299466051732,no,
213,35.301803400811465,-80.7330382014351,no,
214,35.30171146264097,-80.7331106210785,no,
215,35.30164579245523,-80.73314280758667,no,
216,35.30157793320731,-80.7332205916481,no,
217,35.30151007390248,-80.73330105791855,no,
218,35.30143345848993,-80.73339225302506,no,
219,35.3013612210345,-80.73350222359467,no,
220,35.30131525171111,-80.73362560520935,no,
221,35.30127147137884,-80.73377580891419,no,
222,35.30122988004124,-80.73391796599198,no,
223,35.30120798985497,-80.73403330097962,no,
224,35.301194855740356,-80.7341915513115,no,
225,35.30119266672105,-80.73429615746308,no,
226,35.301183910643225,-80.73443295012284,no,
227,35.301183910643225,-80.73457778940964,no,
228,35.301183910643225,-80.73471189986039,no,
229,35.30118609966277,-80.73482455263901,no,
230,35.30119047770168,-80.73501230727005,no,
231,35.301199233778796,-80.7351464177208,no,
232,35.30119704475961,-80.73527784596253,no,
233,35.30119266672105,-80.73539049874115,no,
234,35.30118828868226,-80.73548705826569,no,
235,35.30119047770168,-80.73553802023697,no,
236,35.30119266672105,-80.73562653313446,yes,Hunt Hall
237,35.301218445904766,-80.73581965218354,no,
238,35.301205311791854,-80.73591621170807,no,
239,35.30120312277283,-80.73602350006867,no,
240,35.30119436669614,-80.73615761051941,no,
241,35.30120750081082,-80.73635072956849,no,
242,35.30120968982973,-80.73651702652741,no,
243,35.30120968982973,-80.73662699709702,no,
244,35.30122939099723,-80.73678256521988,no,
245,35.3012578482307,-80.73688985358048,no,
246,35.30131038463543,-80.73697300205994,no,
247,35.30136073199128,-80.73706687937546,no,
248,35.30141764635583,-80.73717416773606,no,
249,35.301492072772156,-80.73722781191636,no,
250,35.301568688129215,-80.73726804505158,no,
251,35.301640925399425,-80.73730291376877,no,
252,35.30171754061555,-80.737343146904,no,
253,35.301818234789266,-80.73736460457611,no,
254,35.301892660837126,-80.73736728678513,no,
255,35.301940818831625,-80.73735924015809,no,
256,35.30202039393128,-80.73735119353104,no,
257,35.30208663586785,-80.73735655794907,no,
258,35.30215887267567,-80.73735924015809,no,
259,35.30225956630019,-80.7373619223671,no,
260,35.302349314859896,-80.73735924015809,no,
261,35.30240185055597,-80.73736728678513,no,
262,35.302452197232704,-80.73736996899414,no,
263,35.30250911082955,-80.73738338003922,yes,Alumni Way W
264,35.30258572522363,-80.73742093096543,no,
265,35.30262950484482,-80.73747993956376,no,
266,35.30267766240077,-80.73753090153504,no,
267,35.30271268605982,-80.73756577025223,no,
268,35.30274770970371,-80.7376328254776,no,
269,35.30278492230873,-80.73772402058411,no,
270,35.302817756946006,-80.73778571139145,no,
271,35.30286372541581,-80.73789031754303,no,
272,35.30290093796748,-80.7379734660225,no,
273,35.30293596152988,-80.73804856787491,no,
274,35.30298630787428,-80.73807270775605,no,
275,35.303071677691015,-80.73804856787491,no,
276,35.303146102585956,-80.7379922414856,no,
277,35.30320958258931,-80.73794396172333,no,
278,35.303277440468854,-80.73789031754303,no,
279,35.30334092036916,-80.73785544882584,no,
280,35.30340440021966,-80.73782326231766,no,
281,35.30345036835618,-80.73778034697342,no,
282,35.30347882480856,-80.73774816046524,no,
283,35.30358608365449,-80.73767502409231,no,
284,35.303621106920325,-80.73763820730392,no,
285,35.30369334235822,-80.73755730086852,no,
286,35.30374806613188,-80.73748488122511,no,
287,35.30382030145644,-80.73741782599974,no,
288,35.30388596987734,-80.73734540635634,no,
289,35.30394288246569,-80.73729176217604,no,
290,35.30400417290067,-80.73724348241377,no,
291,35.30406108540586,-80.7371952026515,no,
292,35.30411143105017,-80.73715228730727,no,
293,35.304168343479915,-80.73711473638106,no,
294,35.3042121222448,-80.73709059649993,no,
295,35.30428216821932,-80.73707450324584,no,
296,35.30429311289736,-80.73706645661879,no,
297,35.30429311289736,-80.73706645661879,no,
298,35.304295301832795,-80.73704499894667,no,
299,35.304297490768164,-80.73700476581145,no,
300,35.304299679703476,-80.73693234616805,no,
301,35.30429311289736,-80.73688138419676,no,
302,35.30428435715504,-80.736744591537,no,
303,35.30428216821932,-80.73661316329527,no,
304,35.30428435715504,-80.73650319272566,no,
305,35.30428435715504,-80.73636103564787,no,
306,35.304286546090715,-80.73623765403319,no,
307,35.30428435715504,-80.73615450555373,no,
308,35.3042777903477,-80.73603380614806,no,
309,35.30427341247582,-80.73591847116042,no,
310,35.30426465673137,-80.7357709496646,no,
311,35.30426465673137,-80.73565829688597,no,
312,35.30427341247582,-80.73556710177947,no,
313,35.30427560141179,-80.73545176679183,no,
314,35.3042777903477,-80.7353203385501,no,
315,35.30427560141179,-80.73521573239852,no,
316,35.30427341247582,-80.7351406305461,no,
317,35.3042712235398,-80.7350682109027,no,
318,35.30427341247582,-80.73495019370604,yes,Cone Deck East
